2021-05-24 15:27:51,105 - while
2021-05-24 15:27:51,105 - status : standby
2021-05-24 15:28:29,554 - while
2021-05-24 15:28:29,554 - status : standby
2021-05-24 15:29:08,029 - while
2021-05-24 15:29:08,029 - status : standby
2021-05-24 15:29:46,526 - while
2021-05-24 15:29:46,526 - status : standby
2021-05-24 15:30:25,208 - while
2021-05-24 15:30:25,208 - status : standby
2021-05-24 15:31:03,733 - while
2021-05-24 15:31:03,733 - status : standby
2021-05-24 15:31:42,532 - while
2021-05-24 15:31:42,532 - status : standby
2021-05-24 15:32:21,395 - while
2021-05-24 15:32:21,395 - status : standby
2021-05-24 15:33:00,673 - while
2021-05-24 15:33:00,673 - status : standby
2021-05-24 15:33:39,852 - while
2021-05-24 15:33:39,852 - status : standby
2021-05-24 15:34:19,021 - while
2021-05-24 15:34:19,021 - status : standby
2021-05-24 15:34:58,014 - while
2021-05-24 15:34:58,014 - status : standby
2021-05-24 15:35:36,853 - while
2021-05-24 15:35:36,853 - status : standby
2021-05-24 15:36:15,725 - while
2021-05-24 15:36:15,726 - status : standby
2021-05-24 15:36:54,678 - while
2021-05-24 15:36:54,678 - status : standby
2021-05-24 15:37:33,833 - while
2021-05-24 15:37:33,833 - status : standby
2021-05-24 15:38:12,898 - while
2021-05-24 15:38:12,898 - status : standby
2021-05-24 15:38:52,478 - while
2021-05-24 15:38:52,478 - status : standby
2021-05-24 15:39:31,713 - while
2021-05-24 15:39:31,713 - status : standby
2021-05-24 15:40:10,637 - while
2021-05-24 15:40:10,637 - status : standby
2021-05-24 15:40:49,620 - while
2021-05-24 15:40:49,620 - status : standby
2021-05-24 15:41:28,712 - while
2021-05-24 15:41:28,712 - status : standby
2021-05-24 15:42:07,827 - while
2021-05-24 15:42:07,827 - status : standby
2021-05-24 15:42:47,201 - while
2021-05-24 15:42:47,201 - status : standby
2021-05-24 15:43:26,431 - while
2021-05-24 15:43:26,432 - status : standby
2021-05-24 15:44:05,492 - while
2021-05-24 15:44:05,493 - status : standby
2021-05-24 15:44:44,602 - while
2021-05-24 15:44:44,602 - status : standby
2021-05-24 15:45:23,718 - while
2021-05-24 15:45:23,719 - status : standby
2021-05-24 15:46:02,450 - while
2021-05-24 15:46:02,451 - status : standby
2021-05-24 15:46:41,490 - while
2021-05-24 15:46:41,490 - status : standby
2021-05-24 15:47:20,798 - while
2021-05-24 15:47:20,798 - status : standby
2021-05-24 15:47:59,794 - while
2021-05-24 15:47:59,794 - status : standby
2021-05-24 15:48:38,647 - while
2021-05-24 15:48:38,647 - status : standby
2021-05-24 15:49:17,689 - while
2021-05-24 15:49:17,689 - status : standby
2021-05-24 15:49:56,844 - while
2021-05-24 15:49:56,844 - status : standby
2021-05-24 15:50:35,551 - while
2021-05-24 15:50:35,552 - status : standby
2021-05-24 15:51:14,211 - while
2021-05-24 15:51:14,211 - status : standby
2021-05-24 15:51:53,321 - while
2021-05-24 15:51:53,321 - status : standby
2021-05-24 15:52:32,184 - while
2021-05-24 15:52:32,184 - status : standby
2021-05-24 15:53:11,013 - while
